title,category,difficulty,description,youtube_link,thumbnail_url
Python for Beginners,Python,Beginner,Learn Python from scratch.,https://www.youtube.com/watch?v=rfscVS0vtbw,https://img.youtube.com/vi/rfscVS0vtbw/0.jpg
Complete DSA Guide,DSA,Intermediate,Master data structures and algorithms.,https://www.youtube.com/watch?v=8hly31xKli0,https://img.youtube.com/vi/8hly31xKli0/0.jpg
Web Development Bootcamp,Web Development,Beginner,Complete web development bootcamp.,https://www.youtube.com/watch?v=pKd0Rpw7O48,https://img.youtube.com/vi/pKd0Rpw7O48/0.jpg
AI for Beginners,AI,Beginner,Learn AI fundamentals.,https://www.youtube.com/watch?v=aircAruvnKk,https://img.youtube.com/vi/aircAruvnKk/0.jpg
Advanced Python,Python,Advanced,Deep dive into advanced Python topics.,https://www.youtube.com/watch?v=f79MRyMsjrQ,https://img.youtube.com/vi/f79MRyMsjrQ/0.jpg
Dynamic Programming,DSA,Advanced,Master dynamic programming concepts.,https://www.youtube.com/watch?v=oBt53YbR9Kk,https://img.youtube.com/vi/oBt53YbR9Kk/0.jpg
Full Stack Web Development,Web Development,Advanced,Complete full stack development course.,https://www.youtube.com/watch?v=GQ4hU4vuFP8,https://img.youtube.com/vi/GQ4hU4vuFP8/0.jpg
AI and Machine Learning,AI,Advanced,Machine learning and AI concepts.,https://www.youtube.com/watch?v=GwIo3gDZCVQ,https://img.youtube.com/vi/GwIo3gDZCVQ/0.jpg
Python OOPs,Python,Intermediate,Object Oriented Programming in Python.,https://www.youtube.com/watch?v=JeznW_7DlB0,https://img.youtube.com/vi/JeznW_7DlB0/0.jpg
Sorting Algorithms,DSA,Beginner,Learn sorting algorithms with examples.,https://www.youtube.com/watch?v=kPRA0W1kECg,https://img.youtube.com/vi/kPRA0W1kECg/0.jpg
Responsive Web Design,Web Development,Intermediate,Responsive web design fundamentals.,https://www.youtube.com/watch?v=srvUrASNj0s,https://img.youtube.com/vi/srvUrASNj0s/0.jpg
Neural Networks Basics,AI,Intermediate,Introduction to neural networks.,https://www.youtube.com/watch?v=aircAruvnKk,https://img.youtube.com/vi/aircAruvnKk/0.jpg
Data Science with Python,Python,Advanced,Data science with Python libraries.,https://www.youtube.com/watch?v=cKxRvEZd3Mw,https://img.youtube.com/vi/cKxRvEZd3Mw/0.jpg
Graphs and Trees,DSA,Intermediate,Graphs and tree data structures.,https://www.youtube.com/watch?v=oDqjPvD54Ss,https://img.youtube.com/vi/oDqjPvD54Ss/0.jpg
React JS Crash Course,Web Development,Intermediate,Learn React JS from scratch.,https://www.youtube.com/watch?v=w7ejDZ8SWv8,https://img.youtube.com/vi/w7ejDZ8SWv8/0.jpg
Deep Learning Specialization,AI,Advanced,Complete deep learning course.,https://www.youtube.com/watch?v=CS4cs9xVecg,https://img.youtube.com/vi/CS4cs9xVecg/0.jpg
Python Projects,Python,Beginner,Build real-world Python projects.,https://www.youtube.com/watch?v=8ext9G7xspg,https://img.youtube.com/vi/8ext9G7xspg/0.jpg
Searching Algorithms,DSA,Beginner,Linear search and binary search.,https://www.youtube.com/watch?v=8ext9G7xspg,https://img.youtube.com/vi/8ext9G7xspg/0.jpg
JavaScript Crash Course,Web Development,Beginner,Learn JavaScript basics.,https://www.youtube.com/watch?v=hdI2bqOjy3c,https://img.youtube.com/vi/hdI2bqOjy3c/0.jpg
Natural Language Processing,AI,Intermediate,NLP with Python.,https://www.youtube.com/watch?v=8rXD5-xhemo,https://img.youtube.com/vi/8rXD5-xhemo/0.jpg
NumPy & Pandas,Python,Intermediate,NumPy and Pandas for data analysis.,https://www.youtube.com/watch?v=vmEHCJofslg,https://img.youtube.com/vi/vmEHCJofslg/0.jpg
Linked Lists,DSA,Intermediate,Linked list data structure.,https://www.youtube.com/watch?v=njTh_OwMljA,https://img.youtube.com/vi/njTh_OwMljA/0.jpg
Django Full Tutorial,Web Development,Intermediate,Django web framework tutorial.,https://www.youtube.com/watch?v=F5mRW0jo-U4,https://img.youtube.com/vi/F5mRW0jo-U4/0.jpg
Computer Vision Basics,AI,Intermediate,Computer vision fundamentals.,https://www.youtube.com/watch?v=0T8aBu4lo3I,https://img.youtube.com/vi/0T8aBu4lo3I/0.jpg
Flask Web Development,Python,Intermediate,Flask web development tutorial.,https://www.youtube.com/watch?v=Z1RJmh_OqeA,https://img.youtube.com/vi/Z1RJmh_OqeA/0.jpg
Recursion Problems,DSA,Advanced,Master recursion in coding.,https://www.youtube.com/watch?v=IJDJ0kBx2LM,https://img.youtube.com/vi/IJDJ0kBx2LM/0.jpg
HTML & CSS Crash Course,Web Development,Beginner,Build websites using HTML and CSS.,https://www.youtube.com/watch?v=mU6anWqZJcc,https://img.youtube.com/vi/mU6anWqZJcc/0.jpg
AI Career Guide,AI,Beginner,How to build AI career.,https://www.youtube.com/watch?v=R9OHn5ZF4Uo,https://img.youtube.com/vi/R9OHn5ZF4Uo/0.jpg
Python APIs,Python,Intermediate,Using APIs with Python.,https://www.youtube.com/watch?v=qbLc5a9jdXo,https://img.youtube.com/vi/qbLc5a9jdXo/0.jpg
Hash Tables,DSA,Intermediate,Hash tables and dictionaries.,https://www.youtube.com/watch?v=shs0KM3wKv8,https://img.youtube.com/vi/shs0KM3wKv8/0.jpg
Bootstrap Tutorial,Web Development,Beginner,Using Bootstrap for styling.,https://www.youtube.com/watch?v=-qfEOE4vtxE,https://img.youtube.com/vi/-qfEOE4vtxE/0.jpg
Reinforcement Learning,AI,Advanced,Reinforcement learning basics.,https://www.youtube.com/watch?v=2pWv7GOvuf0,https://img.youtube.com/vi/2pWv7GOvuf0/0.jpg
Regex in Python,Python,Intermediate,Regular expressions in Python.,https://www.youtube.com/watch?v=K8L6KVGG-7o,https://img.youtube.com/vi/K8L6KVGG-7o/0.jpg
Stacks and Queues,DSA,Beginner,Stacks and queue implementation.,https://www.youtube.com/watch?v=wjI1WNcIntg,https://img.youtube.com/vi/wjI1WNcIntg/0.jpg
NodeJS Crash Course,Web Development,Intermediate,Learn NodeJS backend.,https://www.youtube.com/watch?v=fBNz5xF-Kx4,https://img.youtube.com/vi/fBNz5xF-Kx4/0.jpg
AI Chatbot Tutorial,AI,Advanced,Build an AI-powered chatbot.,https://www.youtube.com/watch?v=8zySejNnbq8,https://img.youtube.com/vi/8zySejNnbq8/0.jpg
Python Automation,Python,Advanced,Automate tasks using Python.,https://www.youtube.com/watch?v=qbLc5a9jdXo,https://img.youtube.com/vi/qbLc5a9jdXo/0.jpg
Greedy Algorithms,DSA,Intermediate,Learn greedy algorithms.,https://www.youtube.com/watch?v=ARfXDSkQf1Y,https://img.youtube.com/vi/ARfXDSkQf1Y/0.jpg
MongoDB Tutorial,Web Development,Intermediate,Using MongoDB with web apps.,https://www.youtube.com/watch?v=Of1sNtLwbLc,https://img.youtube.com/vi/Of1sNtLwbLc/0.jpg
TensorFlow Basics,AI,Intermediate,TensorFlow for deep learning.,https://www.youtube.com/watch?v=tPYj3fFJGjk,https://img.youtube.com/vi/tPYj3fFJGjk/0.jpg
Web Scraping,Python,Intermediate,Web scraping using Python.,https://www.youtube.com/watch?v=87Gx3U0BDlo,https://img.youtube.com/vi/87Gx3U0BDlo/0.jpg
Backtracking Algorithms,DSA,Advanced,Backtracking techniques.,https://www.youtube.com/watch?v=JzONv5kaPJM,https://img.youtube.com/vi/JzONv5kaPJM/0.jpg
REST API Development,Web Development,Advanced,Build REST APIs.,https://www.youtube.com/watch?v=Fdf5aTYRW0E,https://img.youtube.com/vi/Fdf5aTYRW0E/0.jpg
Recurrent Neural Networks,AI,Advanced,RNNs for sequence data.,https://www.youtube.com/watch?v=SEnXr6v2ifU,https://img.youtube.com/vi/SEnXr6v2ifU/0.jpg
Pandas Projects,Python,Intermediate,Data projects using Pandas.,https://www.youtube.com/watch?v=vmEHCJofslg,https://img.youtube.com/vi/vmEHCJofslg/0.jpg
Dynamic Programming Leetcode,DSA,Advanced,Dynamic programming practice.,https://www.youtube.com/watch?v=YBSt1jYwVfU,https://img.youtube.com/vi/YBSt1jYwVfU/0.jpg
Docker for Web Dev,Web Development,Advanced,Docker for deployment.,https://www.youtube.com/watch?v=3c-iBn73dDE,https://img.youtube.com/vi/3c-iBn73dDE/0.jpg
Generative AI Tutorial,AI,Advanced,Generative AI concepts.,https://www.youtube.com/watch?v=kCc8FmEb1nY,https://img.youtube.com/vi/kCc8FmEb1nY/0.jpg
Python Regex Projects,Python,Intermediate,Project-based Regex.,https://www.youtube.com/watch?v=K8L6KVGG-7o,https://img.youtube.com/vi/K8L6KVGG-7o/0.jpg
Priority Queues,DSA,Intermediate,Heap and priority queues.,https://www.youtube.com/watch?v=3RdS4y6pF40,https://img.youtube.com/vi/3RdS4y6pF40/0.jpg
Authentication in Web Dev,Web Development,Intermediate,User authentication systems.,https://www.youtube.com/watch?v=5wtnKulcquA,https://img.youtube.com/vi/5wtnKulcquA/0.jpg
AI Deployment Guide,AI,Advanced,Deploy AI models to production.,https://www.youtube.com/watch?v=z9o3kxqSe3s,https://img.youtube.com/vi/z9o3kxqSe3s/0.jpg
